Customer Id,Subscription Id,Invoice Number,Invoice Date,Start Date,Amount,Status,Paid On,Next Retry,Refunded Amount,Recurring,First Invoice,Customer First Name,Customer Last Name,Customer Email,Customer Company,Tax Total
2uENY2ytPEiGCuKJkO,2uENY2ytPEiGCuKJkO,7062,2015-06-05T06:29:00.000Z,2015-06-05T06:29:00.000Z,900,Payment Due,,,0,TRUE,TRUE,,,,,0
1mqYqruPCRsr6EEhR,,7060,2015-05-26T09:54:00.000Z,2015-05-26T09:54:00.000Z,1200,Payment Due,,,0,FALSE,FALSE,,,,,0
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,draft_inv_2uENY31gPDfwZyZGw,2015-05-25T06:30:00.000Z,2015-04-25T06:30:00.000Z,2000,Pending,,,0,TRUE,FALSE,John,Wayne,john@user.com,,0
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_2uENY31gPDfw4nxFh,2015-05-25T06:28:00.000Z,2015-04-27T11:04:00.000Z,2900,Pending,,,0,TRUE,FALSE,asda,asd,asdfa@asd.com,,0
test_sub2,test_sub2,draft_inv_2slhRVZTPDfr7xK2Z,2015-05-25T06:08:00.000Z,2015-04-25T06:08:00.000Z,1000,Pending,,,0,TRUE,FALSE,John,Doe,,,0
test_sub,test_sub,draft_inv_2uENY31gPDfr0ZeA5,2015-05-25T06:07:00.000Z,2015-04-25T06:07:00.000Z,1000,Pending,,,0,TRUE,FALSE,John,Doe,,,0
2uENY34LP7v8aYs8di,2uENY34LP7vA8698fV,draft_inv_HpvtAY1PDfqC5B1Z,2015-05-25T06:04:00.000Z,2015-04-25T06:04:00.000Z,1000,Pending,,,0,TRUE,FALSE,John,Doe,john@test.com,,0
cbdemo_XpbGA4wP6d1LnOC,cbdemo_XpbGA4wP6d1LnOC,draft_inv_1mqYqnaPDflh3K1,2015-05-25T05:46:00.000Z,2015-04-25T05:46:00.000Z,0,Pending,,,0,TRUE,FALSE,Jon,M,jon@cbacme.com,,0
2uENY34fPA5FDA5NCA,2uENY30FPAZjzQaToC,7059,2015-05-22T09:35:00.000Z,2015-04-22T09:35:00.000Z,19800,Payment Due,,,0,TRUE,TRUE,,,,,0
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7058,2015-05-19T08:29:00.000Z,2015-05-19T08:29:00.000Z,1100,Payment Due,,,0,FALSE,TRUE,,,,,0
2uENY34fPA5Ela4NBW,2uENY34fPA5Ela4NBW,draft_inv_2uENY3ATPCueoMy10sn,2015-05-17T04:24:00.000Z,2015-04-17T04:24:00.000Z,0,Pending,,,0,TRUE,FALSE,,,,,0
cbdemo_XpbGA4wP6d1ML7N,cbdemo_XpbGA4wP6d1ML7N,7057,2015-05-14T06:44:00.000Z,2015-05-14T06:44:00.000Z,1000,Payment Due,,,0,FALSE,TRUE,Michael,B,mbruner@cbacme.com,,0
2uENY37UPB3JoR6FS3,2uENY37UPB3JoR6FS3,7056,2015-05-12T11:00:00.000Z,2015-04-27T11:00:00.000Z,2900,Paid,5/12/2015 11:00:00,,0,TRUE,TRUE,John,Wayne,john@user.com,,0
2uENY34fPA5FDA5NCA,testsub2,7055,2015-05-12T10:15:00.000Z,2015-04-27T10:15:00.000Z,4900,Payment Due,,,0,TRUE,TRUE,,,,,0
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7054,2015-05-12T06:21:00.000Z,2015-05-12T06:21:00.000Z,1980021000,Paid,5/12/2015 6:21:00,,0,TRUE,TRUE,,,,,0
1mqYqruPCRsr6EEhR,1mqYqruPCRtUEnEhg,7053,2015-05-12T06:21:00.000Z,2015-05-12T06:21:00.000Z,1980021000,Paid,5/12/2015 6:21:00,,0,TRUE,TRUE,,,,,0
1mqYqruPCRsr6EEhR,2slhRVY4PCRtRXLHq2,7052,2015-05-12T06:20:00.000Z,2015-05-12T06:20:00.000Z,1980021000,Paid,5/12/2015 6:20:00,,0,TRUE,TRUE,,,,,0
1mqYqruPCRsr6EEhR,1mqYqruPCRsr6EEhR,7051,2015-05-12T06:18:00.000Z,2015-05-12T06:18:00.000Z,1980021000,Paid,5/12/2015 6:19:00,,0,TRUE,TRUE,,,,,0
cbdemo_XpbGA4wP6d1MalY,cbdemo_XpbGA4wP6d1MalY,7050,2015-05-12T06:16:00.000Z,2015-05-12T06:16:00.000Z,330900,Paid,5/12/2015 6:17:00,,0,TRUE,FALSE,Tammy,M,tmaddix@cbacme.com,,30083
cbdemo_XpbGA4wP6d1MalY,cbdemo_XpbGA4wP6d1MalY,7049,2015-05-12T06:16:00.000Z,2015-03-14T12:23:00.000Z,29400,Paid,5/12/2015 6:17:00,,0,TRUE,FALSE,Tammy,M,tmaddix@cbacme.com,,2670
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,draft_inv_2uENY37UPBVQwLR161C,2015-05-02T06:23:00.000Z,2015-04-27T06:22:00.000Z,33014200,Pending,,,0,TRUE,FALSE,,,,,3001290
HpvtAaeP9MT4oDcT,HpvtAaeP9MT4oDcT,draft_inv_2slhRVbTPBKkyhdXw0,2015-04-30T10:34:00.000Z,2015-04-30T10:33:00.000Z,38600,Pending,,,0,TRUE,FALSE,,,,,3508
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_HpvtAZlPB3Kww56wr,2015-04-27T11:04:00.000Z,2015-04-25T06:28:00.000Z,3000,Pending,,,0,TRUE,FALSE,asda,asd,asdfa@asd.com,,269
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7048,2015-04-27T10:11:00.000Z,2015-04-20T12:01:00.000Z,3831700,Paid,4/27/2015 10:33:00,,0,TRUE,FALSE,,,,,348339
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,7047,2015-04-25T06:30:00.000Z,2015-04-01T06:26:00.000Z,200,Paid,4/25/2015 6:30:00,,0,TRUE,FALSE,John,Wayne,john@user.com,,23
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,7046,2015-04-25T06:28:00.000Z,2015-03-25T06:28:00.000Z,1100,Paid,4/25/2015 6:28:00,,0,TRUE,FALSE,asda,asd,asdfa@asd.com,,100
test_sub2,test_sub2,7045,2015-04-25T06:08:00.000Z,2015-03-25T06:08:00.000Z,1100,Paid,4/25/2015 6:08:00,,0,TRUE,FALSE,John,Doe,,,100
test_sub,test_sub,7044,2015-04-25T06:07:00.000Z,2015-03-25T06:07:00.000Z,1100,Paid,4/25/2015 6:07:00,,0,TRUE,FALSE,John,Doe,,,100
2uENY34LP7v8aYs8di,2uENY34LP7vA8698fV,7043,2015-04-25T06:04:00.000Z,2015-03-25T06:04:00.000Z,1100,Paid,4/25/2015 6:04:00,,0,TRUE,FALSE,John,Doe,john@test.com,,100
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7042,2015-04-20T12:01:00.000Z,2015-04-20T11:52:00.000Z,551100,Paid,4/27/2015 9:58:00,,40000,TRUE,FALSE,,,,,50100
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7041,2015-04-20T11:52:00.000Z,2015-04-20T11:45:00.000Z,551100,Payment Due,,,0,TRUE,FALSE,,,,,50100
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7040,2015-04-20T11:45:00.000Z,2015-04-20T11:41:00.000Z,531500,Payment Due,,,0,TRUE,FALSE,,,,,48320
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7039,2015-04-20T11:41:00.000Z,2015-04-20T11:31:00.000Z,0,Paid,4/20/2015 11:41:00,,0,TRUE,FALSE,,,,,0
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7038,2015-04-20T11:31:00.000Z,2015-04-17T04:27:00.000Z,0,Paid,4/20/2015 11:31:00,,0,TRUE,FALSE,,,,,0
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7037,2015-04-17T04:27:00.000Z,2015-04-17T04:26:00.000Z,0,Pending,,,0,TRUE,FALSE,,,,,0
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7036,2015-04-17T04:26:00.000Z,2015-04-17T04:26:00.000Z,9800,Pending,,,0,TRUE,FALSE,,,,,890
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7035,2015-04-17T04:26:00.000Z,2015-04-17T04:25:00.000Z,0,Pending,,,0,TRUE,FALSE,,,,,0
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7034,2015-04-17T04:25:00.000Z,2015-04-17T04:25:00.000Z,1100,Pending,,,0,TRUE,FALSE,,,,,100
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7033,2015-04-17T04:25:00.000Z,2015-04-17T04:25:00.000Z,9800,Pending,,,0,TRUE,FALSE,,,,,890
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7032,2015-04-17T04:25:00.000Z,2015-04-17T04:25:00.000Z,0,Paid,4/17/2015 4:25:00,,0,TRUE,TRUE,,,,,0
2uENY34fPA5Ela4NBW,2uENY34fPA5Ela4NBW,7031,2015-04-17T04:24:00.000Z,2015-04-17T04:23:00.000Z,0,Pending,,,0,TRUE,FALSE,,,,,0
2uENY34fPA5Ela4NBW,2uENY34fPA5Ela4NBW,7030,2015-04-17T04:23:00.000Z,2015-04-17T04:23:00.000Z,0,Paid,4/20/2015 6:26:00,,0,TRUE,FALSE,,,,,0
2uENY34fPA5Ela4NBW,2uENY34fPA5Ela4NBW,7029,2015-04-17T04:23:00.000Z,2015-04-17T04:23:00.000Z,1100,Paid,4/20/2015 6:27:00,,0,TRUE,TRUE,,,,,100
HpvtAaeP9MUKXUdA,HpvtAaeP9MUKXUdA,7028,2015-04-09T12:43:00.000Z,2015-04-09T12:43:00.000Z,9800,Paid,4/9/2015 12:43:00,,0,TRUE,FALSE,,,,,890
HpvtAaeP9MUKXUdA,HpvtAaeP9MUKXUdA,7027,2015-04-09T12:43:00.000Z,2015-04-09T12:43:00.000Z,1100,Payment Due,,,0,TRUE,TRUE,,,,,100
