Customer Id,Subscription Id,Invoice Number,Invoice Date,Start Date,Amount,Status,Paid On,Next Retry,Refunded Amount,Recurring,First Invoice,Customer Details,Tax Total
2uENY2ytPEiGCuKJkO,2uENY2ytPEiGCuKJkO,7062,05/06/2015 06:29,05/06/2015 06:29,9.00,Payment Due,,,0.00,TRUE,TRUE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
1mqYqruPCRsr6EEhR,,7060,26/05/2015 09:54,26/05/2015 09:54,12.00,Payment Due,,,0.00,FALSE,FALSE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,draft_inv_2uENY31gPDfwZyZGw,25/05/2015 06:30,25/04/2015 06:30,20.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":""john@user.com"",""Customer First Name"":""John"",""Customer Last Name"":""Wayne"",""Customer Company"":""""}",0.00
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_2uENY31gPDfw4nxFh,25/05/2015 06:28,27/04/2015 11:04,29.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":""asdfa@asd.com"",""Customer First Name"":""asda"",""Customer Last Name"":""asd"",""Customer Company"":""""}",0.00
test_sub2,test_sub2,draft_inv_2slhRVZTPDfr7xK2Z,25/05/2015 06:08,25/04/2015 06:08,10.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":"""",""Customer First Name"":""John"",""Customer Last Name"":""Doe"",""Customer Company"":""""}",0.00
test_sub,test_sub,draft_inv_2uENY31gPDfr0ZeA5,25/05/2015 06:07,25/04/2015 06:07,10.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":"""",""Customer First Name"":""John"",""Customer Last Name"":""Doe"",""Customer Company"":""""}",0.00
2uENY34LP7v8aYs8di,2uENY34LP7vA8698fV,draft_inv_HpvtAY1PDfqC5B1Z,25/05/2015 06:04,25/04/2015 06:04,10.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":""john@test.com"",""Customer First Name"":""John"",""Customer Last Name"":""Doe"",""Customer Company"":""""}",0.00
cbdemo_XpbGA4wP6d1LnOC,cbdemo_XpbGA4wP6d1LnOC,draft_inv_1mqYqnaPDflh3K1,25/05/2015 05:46,25/04/2015 05:46,0.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":""jon@cbacme.com"",""Customer First Name"":""Jon"",""Customer Last Name"":""M"",""Customer Company"":""""}",0.00
2uENY34fPA5FDA5NCA,2uENY30FPAZjzQaToC,7059,22/05/2015 09:35,22/04/2015 09:35,198.00,Payment Due,,,0.00,TRUE,TRUE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7058,19/05/2015 08:29,19/05/2015 08:29,11.00,Payment Due,,,0.00,FALSE,TRUE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
2uENY34fPA5Ela4NBW,2uENY34fPA5Ela4NBW,draft_inv_2uENY3ATPCueoMy10sn,17/05/2015 04:24,17/04/2015 04:24,0.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
cbdemo_XpbGA4wP6d1ML7N,cbdemo_XpbGA4wP6d1ML7N,7057,14/05/2015 06:44,14/05/2015 06:44,10.00,Payment Due,,,0.00,FALSE,TRUE,"{""Customer Email"":""mbruner@cbacme.com"",""Customer First Name"":""Michael"",""Customer Last Name"":""B"",""Customer Company"":""""}",0.00
2uENY37UPB3JoR6FS3,2uENY37UPB3JoR6FS3,7056,12/05/2015 11:00,27/04/2015 11:00,29.00,Paid,5/12/2015 11:00:00,,0.00,TRUE,TRUE,"{""Customer Email"":""john@user.com"",""Customer First Name"":""John"",""Customer Last Name"":""Wayne"",""Customer Company"":""""}",0.00
2uENY34fPA5FDA5NCA,testsub2,7055,12/05/2015 10:15,27/04/2015 10:15,49.00,Payment Due,,,0.00,TRUE,TRUE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7054,12/05/2015 06:21,12/05/2015 06:21,19800210.00,Paid,5/12/2015 6:21:00,,0.00,TRUE,TRUE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
1mqYqruPCRsr6EEhR,1mqYqruPCRtUEnEhg,7053,12/05/2015 06:21,12/05/2015 06:21,19800210.00,Paid,5/12/2015 6:21:00,,0.00,TRUE,TRUE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
1mqYqruPCRsr6EEhR,2slhRVY4PCRtRXLHq2,7052,12/05/2015 06:20,12/05/2015 06:20,19800210.00,Paid,5/12/2015 6:20:00,,0.00,TRUE,TRUE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
1mqYqruPCRsr6EEhR,1mqYqruPCRsr6EEhR,7051,12/05/2015 06:18,12/05/2015 06:18,19800210.00,Paid,5/12/2015 6:19:00,,0.00,TRUE,TRUE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",0.00
cbdemo_XpbGA4wP6d1MalY,cbdemo_XpbGA4wP6d1MalY,7050,12/05/2015 06:16,12/05/2015 06:16,3309.00,Paid,5/12/2015 6:17:00,,0.00,TRUE,FALSE,"{""Customer Email"":""tmaddix@cbacme.com"",""Customer First Name"":""Tammy"",""Customer Last Name"":""M"",""Customer Company"":""""}",300.83
cbdemo_XpbGA4wP6d1MalY,cbdemo_XpbGA4wP6d1MalY,7049,12/05/2015 06:16,14/03/2015 12:23,294.00,Paid,5/12/2015 6:17:00,,0.00,TRUE,FALSE,"{""Customer Email"":""tmaddix@cbacme.com"",""Customer First Name"":""Tammy"",""Customer Last Name"":""M"",""Customer Company"":""""}",26.70
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,draft_inv_2uENY37UPBVQwLR161C,02/05/2015 06:23,27/04/2015 06:22,330142.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",30012.90
HpvtAaeP9MT4oDcT,HpvtAaeP9MT4oDcT,draft_inv_2slhRVbTPBKkyhdXw0,30/04/2015 10:34,30/04/2015 10:33,386.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",35.08
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_HpvtAZlPB3Kww56wr,27/04/2015 11:04,25/04/2015 06:28,30.00,Pending,,,0.00,TRUE,FALSE,"{""Customer Email"":""asdfa@asd.com"",""Customer First Name"":""asda"",""Customer Last Name"":""asd"",""Customer Company"":""""}",2.69
2uENY34fPA5FDA5NCA,2uENY34fPA5FDA5NCA,7048,27/04/2015 10:11,20/04/2015 12:01,38317.00,Paid,4/27/2015 10:33:00,,0.00,TRUE,FALSE,"{""Customer Email"":"""",""Customer First Name"":"""",""Customer Last Name"":"""",""Customer Company"":""""}",3483.39
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,7047,25/04/2015 06:30,01/04/2015 06:26,2.00,Paid,4/25/2015 6:30:00,,0.00,TRUE,FALSE,"{""Customer Email"":""john@user.com"",""Customer First Name"":""John"",""Customer Last Name"":""Wayne"",""Customer Company"":""""}",0.23
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,7046,25/04/2015 06:28,25/03/2015 06:28,11.00,Paid,4/25/2015 6:28:00,,0.00,TRUE,FALSE,"{""Customer Email"":""asdfa@asd.com"",""Customer First Name"":""asda"",""Customer Last Name"":""asd"",""Customer Company"":""""}",1.00
test_sub2,test_sub2,7045,25/04/2015 06:08,25/03/2015 06:08,11.00,Paid,4/25/2015 6:08:00,,0.00,TRUE,FALSE,"{""Customer Email"":"""",""Customer First Name"":""John"",""Customer Last Name"":""Doe"",""Customer Company"":""""}",1.00
test_sub,test_sub,7044,25/04/2015 06:07,25/03/2015 06:07,11.00,Paid,4/25/2015 6:07:00,,0.00,TRUE,FALSE,"{""Customer Email"":"""",""Customer First Name"":""John"",""Customer Last Name"":""Doe"",""Customer Company"":""""}",1.00
